ticker,Date,SplitRatio
AMZN,1998-06-02 00:00:00-04:00,2.0
AMZN,1999-01-05 00:00:00-05:00,3.0
AMZN,1999-09-02 00:00:00-04:00,2.0
AMZN,2022-06-06 00:00:00-04:00,20.0
AVGO,2024-07-15 00:00:00-04:00,10.0
AXP,1983-02-11 00:00:00-05:00,1.3333333333333333
AXP,1983-08-11 00:00:00-04:00,1.5
AXP,1987-05-11 00:00:00-04:00,2.0
AXP,1994-05-31 00:00:00-04:00,1.13314447592068
AXP,2000-05-11 00:00:00-04:00,3.0
AXP,2005-10-03 00:00:00-04:00,1.1424654404204273
BA,1966-05-18 00:00:00-04:00,2.0
BA,1977-09-13 00:00:00-04:00,2.0
BA,1979-04-16 00:00:00-05:00,1.5
BA,1980-04-15 00:00:00-05:00,1.5
BA,1985-06-10 00:00:00-04:00,1.5
BA,1989-06-12 00:00:00-04:00,1.5
BA,1990-06-11 00:00:00-04:00,1.5
BA,1997-06-09 00:00:00-04:00,2.0
BAC,1986-11-21 00:00:00-05:00,2.0
BAC,1997-02-28 00:00:00-05:00,2.0
BAC,2004-08-30 00:00:00-04:00,2.0
BAJAJ-AUTO.NS,2010-09-08 00:00:00+05:30,2.0
BBCA.JK,2008-01-28 00:00:00+07:00,2.0
BBCA.JK,2021-10-13 00:00:00+07:00,5.0
BBY,1986-04-01 00:00:00-05:00,2.0
BBY,1987-02-23 00:00:00-05:00,1.5
BBY,1993-09-02 00:00:00-04:00,1.5
BBY,1994-04-29 00:00:00-04:00,2.0
BBY,1998-05-27 00:00:00-04:00,2.0
BBY,1999-03-19 00:00:00-05:00,2.0
BBY,2002-05-13 00:00:00-04:00,1.5
BBY,2005-08-04 00:00:00-04:00,1.5
BEN,1984-04-13 00:00:00-05:00,1.25
BEN,1985-04-02 00:00:00-05:00,2.0
BEN,1986-01-23 00:00:00-05:00,2.0
BEN,1986-10-27 00:00:00-05:00,1.5
BEN,1987-07-15 00:00:00-04:00,1.25
BEN,1990-01-16 00:00:00-05:00,1.5
BEN,1992-04-15 00:00:00-04:00,2.0
BEN,1997-01-15 00:00:00-05:00,1.5
BEN,1998-01-16 00:00:00-05:00,2.0
BEN,2013-07-26 00:00:00-04:00,3.0
BIDU,2010-05-12 00:00:00-04:00,10.0
BIL,2017-11-30 00:00:00-05:00,0.5
BLS.NS,2017-04-26 00:00:00+05:30,10.0
BLS.NS,2022-05-13 00:00:00+05:30,2.0
BLS.NS,2022-12-08 00:00:00+05:30,2.0
BMY,1977-05-31 00:00:00-04:00,2.0
BMY,1983-05-27 00:00:00-04:00,2.0
BMY,1987-06-10 00:00:00-04:00,2.0
BMY,1997-03-03 00:00:00-05:00,2.0
BMY,1999-03-01 00:00:00-05:00,2.0
BMY,2001-08-07 00:00:00-04:00,1.0506662800214757
BRO,1983-03-24 00:00:00-05:00,1.5
BRO,1986-05-12 00:00:00-04:00,1.5
BRO,1991-05-30 00:00:00-04:00,1.25
BRO,1998-03-02 00:00:00-05:00,1.5
BRO,2000-08-24 00:00:00-04:00,2.0
BRO,2001-11-23 00:00:00-05:00,2.0
BRO,2005-11-29 00:00:00-05:00,2.0
BRO,2018-03-29 00:00:00-04:00,2.0
BSX,1998-12-01 00:00:00-05:00,2.0
BSX,2003-11-06 00:00:00-05:00,2.0
C,1987-03-13 00:00:00-05:00,2.0
C,1993-03-01 00:00:00-05:00,1.5
C,1993-08-30 00:00:00-04:00,1.3333333333333333
C,1995-10-03 00:00:00-04:00,1.0040160642570282
C,1996-05-28 00:00:00-04:00,1.5
C,1996-11-25 00:00:00-05:00,1.3333333333333333
C,1997-11-20 00:00:00-05:00,1.5
C,1999-06-01 00:00:00-04:00,1.5
C,2000-08-28 00:00:00-04:00,1.3333333333333333
C,2011-05-09 00:00:00-04:00,0.1
CAT,1964-07-06 00:00:00-04:00,2.0
CAT,1976-07-26 00:00:00-04:00,1.5
CAT,1994-09-06 00:00:00-04:00,2.0
CAT,1997-07-14 00:00:00-04:00,2.0
CAT,2005-07-14 00:00:00-04:00,2.0
CBAT,2012-10-26 00:00:00-04:00,0.2
CCL,1994-12-15 00:00:00-05:00,2.0
CCL,1998-06-15 00:00:00-04:00,2.0
